iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
228,-2716.56,1.4328,-2898.77,-3329.54118,751.4315793,97774.00675
229,-2716.54,1.44192,-2898.75,-3329.527852,751.5203794,97774.03125
230,-2716.51,1.44971,-2898.73,-3329.500645,751.6122805,97774.05575
231,-2716.5,1.45613,-2898.71,-3329.496259,751.6921449,97774.08025
232,-2716.48,1.46117,-2898.69,-3329.477933,751.7751714,97774.10475
233,-2716.46,1.46489,-2898.68,-3329.45799,751.8490361,97774.117
234,-2716.45,1.46736,-2898.66,-3329.448766,751.9121847,97774.1415
235,-2716.44,1.46865,-2898.65,-3329.438096,751.9767802,97774.15375
236,-2716.43,1.46887,-2898.64,-3329.426116,752.0319072,97774.166
237,-2716.42,1.46814,-2898.63,-3329.412972,752.0881985,97774.17825
238,-2716.41,1.46661,-2898.62,-3329.398847,752.1454703,97774.1905
239,-2716.4,1.46446,-2898.61,-3329.383964,752.2035016,97774.20275
240,-2716.4,1.46188,-2898.61,-3329.380803,752.2390281,97774.20275
241,-2716.4,1.45909,-2898.6,-3329.377385,752.2748112,97774.215
242,-2716.39,1.45629,-2898.6,-3329.361705,752.3228549,97774.215
243,-2716.39,1.45356,-2898.6,-3329.358361,752.3585616,97774.215
244,-2716.39,1.451,-2898.6,-3329.355225,752.3832775,97774.215
245,-2716.38,1.44864,-2898.59,-3329.340084,752.4199966,97774.22725
246,-2716.38,1.44651,-2898.59,-3329.337475,752.4441819,97774.22725
247,-2716.38,1.44462,-2898.59,-3329.33516,752.4680711,97774.22725
248,-2716.38,1.44301,-2898.59,-3329.333187,752.4916153,97774.22725
249,-2716.38,1.44174,-2898.59,-3329.331632,752.5147409,97774.22725
250,-2716.38,1.44086,-2898.59,-3329.330554,752.5373864,97774.22725
251,-2716.38,1.44041,-2898.59,-3329.330002,752.559503,97774.22725
252,-2716.38,1.44039,-2898.59,-3329.329978,752.5703106,97774.22725
253,-2716.38,1.44075,-2898.58,-3329.330419,752.5914315,97774.2395
254,-2716.37,1.44146,-2898.58,-3329.319039,752.6135917,97774.2395
255,-2716.37,1.44244,-2898.58,-3329.320239,752.6339498,97774.2395
256,-2716.37,1.44359,-2898.57,-3329.321648,752.6433183,97774.25175
257,-2716.36,1.44483,-2898.57,-3329.310917,752.6648257,97774.25175
258,-2716.36,1.44607,-2898.56,-3329.312436,752.6740822,97774.264
259,-2716.35,1.44725,-2898.56,-3329.301631,752.7064423,97774.264
260,-2716.35,1.44834,-2898.55,-3329.302966,752.7158823,97774.27625
261,-2716.34,1.44932,-2898.55,-3329.291917,752.7377067,97774.27625
262,-2716.34,1.45017,-2898.55,-3329.292958,752.7474409,97774.27625
263,-2716.34,1.45088,-2898.54,-3329.293828,752.7573468,97774.2885
264,-2716.34,1.45145,-2898.54,-3329.294526,752.7674249,97774.2885
265,-2716.33,1.45189,-2898.54,-3329.282815,752.7899127,97774.2885
266,-2716.33,1.45221,-2898.54,-3329.283207,752.7895181,97774.2885
267,-2716.33,1.4524,-2898.53,-3329.28344,752.800064,97774.30075
268,-2716.32,1.45247,-2898.53,-3329.271276,752.8230077,97774.30075
269,-2716.32,1.45239,-2898.53,-3329.271178,752.8338859,97774.30075
270,-2716.32,1.45216,-2898.52,-3329.270896,752.8341686,97774.313
271,-2716.31,1.45177,-2898.52,-3329.258168,752.8576783,97774.313
272,-2716.31,1.45125,-2898.52,-3329.257531,752.8690982,97774.313
273,-2716.31,1.45061,-2898.51,-3329.256747,752.8698854,97774.32525
274,-2716.31,1.44989,-2898.51,-3329.255865,752.8815514,97774.32525
275,-2716.31,1.44912,-2898.51,-3329.254922,752.8824989,97774.32525
276,-2716.31,1.44834,-2898.51,-3329.253966,752.8942396,97774.32525
277,-2716.31,1.44759,-2898.51,-3329.253048,752.8951632,97774.32525
278,-2716.31,1.44688,-2898.51,-3329.252178,752.9068187,97774.32525
279,-2716.31,1.44625,-2898.51,-3329.251406,752.9075957,97774.32525
280,-2716.31,1.44569,-2898.51,-3329.25072,752.9190671,97774.32525
281,-2716.31,1.44521,-2898.51,-3329.250132,752.9196603,97774.32525
282,-2716.31,1.44481,-2898.51,-3329.249642,752.9309354,97774.32525
283,-2716.31,1.4445,-2898.51,-3329.249263,752.9313197,97774.32525
284,-2716.31,1.44428,-2898.51,-3329.248993,752.9315936,97774.32525
285,-2716.31,1.44414,-2898.51,-3329.248822,752.9317688,97774.32525
286,-2716.31,1.44408,-2898.51,-3329.248748,752.942626,97774.32525
287,-2716.31,1.4441,-2898.51,-3329.248773,752.942604,97774.32525
288,-2716.31,1.4442,-2898.51,-3329.248895,752.9424839,97774.32525
289,-2716.31,1.44437,-2898.51,-3329.249103,752.9422773,97774.32525
290,-2716.31,1.4446,-2898.51,-3329.249385,752.9527772,97774.32525
291,-2716.31,1.4449,-2898.51,-3329.249753,752.9524103,97774.32525
292,-2716.31,1.44524,-2898.51,-3329.250169,752.9519941,97774.32525
293,-2716.31,1.44562,-2898.51,-3329.250635,752.9515286,97774.32525
294,-2716.31,1.44603,-2898.51,-3329.251137,752.9510257,97774.32525
295,-2716.31,1.44647,-2898.51,-3329.251676,752.9504859,97774.32525
296,-2716.31,1.44692,-2898.51,-3329.252227,752.9607134,97774.32525
297,-2716.31,1.44737,-2898.51,-3329.252778,752.9601607,97774.32525
298,-2716.31,1.44781,-2898.51,-3329.253317,752.9596202,97774.32525
299,-2716.31,1.44823,-2898.51,-3329.253832,752.959104,97774.32525
300,-2716.31,1.44862,-2898.51,-3329.25431,752.9586242,97774.32525
301,-2716.3,1.44899,-2898.51,-3329.242513,752.9704192,97774.32525
302,-2716.3,1.44933,-2898.51,-3329.242929,752.9700007,97774.32525
303,-2716.3,1.44964,-2898.51,-3329.243309,752.9696192,97774.32525
304,-2716.3,1.44992,-2898.51,-3329.243652,752.9692745,97774.32525
305,-2716.3,1.45016,-2898.51,-3329.243946,752.9689788,97774.32525
306,-2716.3,1.4503,-2898.51,-3329.244118,752.9688058,97774.32525
307,-2716.3,1.45043,-2898.51,-3329.244277,752.9686454,97774.32525
308,-2716.3,1.45053,-2898.51,-3329.244399,752.9793019,97774.32525
309,-2716.3,1.45061,-2898.51,-3329.244497,752.9792031,97774.32525
310,-2716.3,1.45066,-2898.51,-3329.244559,752.9791409,97774.32525
311,-2716.3,1.45066,-2898.5,-3329.244559,752.9791404,97774.3375
312,-2716.3,1.45063,-2898.5,-3329.244522,752.9791768,97774.3375
313,-2716.3,1.45056,-2898.5,-3329.244436,752.9792626,97774.3375
314,-2716.3,1.45045,-2898.5,-3329.244301,752.9793973,97774.3375
315,-2716.3,1.45031,-2898.5,-3329.24413,752.9795691,97774.3375
316,-2716.3,1.45016,-2898.5,-3329.243946,752.9797532,97774.3375
317,-2716.3,1.44999,-2898.5,-3329.243738,752.979962,97774.3375
318,-2716.3,1.44982,-2898.5,-3329.24353,752.9801708,97774.3375
319,-2716.3,1.44964,-2898.5,-3329.243309,752.9803922,97774.3375
320,-2716.3,1.44947,-2898.5,-3329.243101,752.980601,97774.3375
321,-2716.3,1.4493,-2898.5,-3329.242893,752.9808101,97774.3375
322,-2716.3,1.44913,-2898.5,-3329.242684,752.9810192,97774.3375
323,-2716.3,1.44898,-2898.5,-3329.242501,752.9812041,97774.3375
324,-2716.3,1.44883,-2898.5,-3329.242317,752.9813888,97774.3375
325,-2716.3,1.44869,-2898.5,-3329.242145,752.9815611,97774.3375
326,-2716.3,1.44855,-2898.5,-3329.241974,752.9817335,97774.3375
327,-2716.3,1.44842,-2898.5,-3329.241815,752.9818936,97774.3375
328,-2716.3,1.44831,-2898.5,-3329.24168,752.9820289,97774.3375
329,-2716.3,1.4482,-2898.5,-3329.241545,752.9821645,97774.3375
330,-2716.3,1.4481,-2898.5,-3329.241423,752.9822876,97774.3375
331,-2716.3,1.44802,-2898.5,-3329.241325,752.9823862,97774.3375
332,-2716.3,1.44795,-2898.5,-3329.241239,752.9824725,97774.3375
333,-2716.3,1.44794,-2898.5,-3329.241227,752.9824851,97774.3375
334,-2716.3,1.44793,-2898.5,-3329.241214,752.9824976,97774.3375
335,-2716.3,1.44793,-2898.5,-3329.241214,752.9824979,97774.3375
336,-2716.3,1.44792,-2898.5,-3329.241202,752.9825101,97774.3375
337,-2716.3,1.44792,-2898.51,-3329.241202,752.9825104,97774.32525
338,-2716.3,1.44793,-2898.51,-3329.241214,752.9824982,97774.32525
339,-2716.3,1.44794,-2898.51,-3329.241227,752.9932661,97774.32525
340,-2716.3,1.44797,-2898.51,-3329.241263,752.9932293,97774.32525
341,-2716.3,1.448,-2898.5,-3329.2413,752.9931926,97774.3375
342,-2716.3,1.44804,-2898.5,-3329.241349,752.9931433,97774.3375
343,-2716.3,1.44809,-2898.5,-3329.24141,752.993082,97774.3375
344,-2716.3,1.44814,-2898.5,-3329.241472,752.9930205,97774.3375
345,-2716.3,1.4482,-2898.5,-3329.241545,752.9929467,97774.3375
346,-2716.3,1.44826,-2898.5,-3329.241619,752.9928732,97774.3375
347,-2716.3,1.44831,-2898.5,-3329.24168,752.9928117,97774.3375
348,-2716.3,1.44837,-2898.5,-3329.241753,752.9927379,97774.3375
349,-2716.3,1.44843,-2898.5,-3329.241827,752.9926644,97774.3375
350,-2716.3,1.44848,-2898.5,-3329.241888,752.9926028,97774.3375
351,-2716.3,1.44854,-2898.5,-3329.241962,752.9925291,97774.3375
352,-2716.3,1.44859,-2898.5,-3329.242023,752.9924675,97774.3375
353,-2716.3,1.44864,-2898.5,-3329.242084,752.9924063,97774.3375
354,-2716.3,1.44869,-2898.5,-3329.242145,752.9923447,97774.3375
355,-2716.3,1.44873,-2898.5,-3329.242194,752.9922954,97774.3375
356,-2716.3,1.44877,-2898.5,-3329.242243,752.9922464,97774.3375
357,-2716.3,1.44881,-2898.5,-3329.242292,752.9921971,97774.3375
358,-2716.3,1.44885,-2898.5,-3329.242341,752.9921481,97774.3375
359,-2716.3,1.44888,-2898.5,-3329.242378,752.9921111,97774.3375
360,-2716.3,1.4489,-2898.5,-3329.242403,752.9920866,97774.3375
361,-2716.3,1.44893,-2898.5,-3329.242439,752.9920499,97774.3375
362,-2716.3,1.44894,-2898.5,-3329.242452,752.9920373,97774.3375
363,-2716.3,1.44895,-2898.5,-3329.242464,752.9920251,97774.3375
