iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
306,-2759.12,5.19631,-2978.99,-3386.28748,804.1149793,97675.73725
307,-2760.22,4.56424,-2980.06,-3386.860694,779.0081615,97674.4265
308,-2760.87,3.99095,-2980.79,-3386.954664,756.0033813,97673.53225
309,-2761.1,3.50675,-2981.21,-3386.643269,735.3957665,97673.01775
310,-2761.02,3.1241,-2981.38,-3386.076523,717.1904242,97672.8095
311,-2760.55,2.84383,-2981.19,-3385.157442,701.4013188,97673.04225
312,-2759.96,2.64756,-2980.83,-3384.194261,687.5805688,97673.48325
313,-2759.39,2.51558,-2980.43,-3383.334335,675.3522098,97673.97325
314,-2758.95,2.42951,-2980.07,-3382.6899,664.3404835,97674.41425
315,-2758.67,2.37399,-2979.82,-3382.278888,654.3159864,97674.7205
316,-2758.79,2.33302,-2979.9,-3382.3757,644.7696967,97674.6225
317,-2759.16,2.30368,-2980.19,-3382.793008,635.7181411,97674.26725
318,-2759.51,2.28345,-2980.43,-3383.196976,627.3452199,97673.97325
319,-2759.94,2.26812,-2980.72,-3383.704947,619.4264574,97673.618
320,-2760.35,2.25582,-2980.99,-3384.192129,612.0225534,97673.28725
321,-2760.69,2.2442,-2981.16,-3384.594395,605.1658963,97673.079
322,-2761.01,2.22796,-2981.3,-3384.966501,598.8024637,97672.9075
323,-2761.07,2.20304,-2981.18,-3385.009474,593.2536436,97673.0545
324,-2760.93,2.15982,-2980.83,-3384.785029,588.4909621,97673.48325
325,-2760.4,2.09945,-2980.1,-3384.061826,584.8116545,97674.3775
326,-2759.46,2.01997,-2978.95,-3382.812963,582.2866561,97675.78625
327,-2758.17,1.92319,-2977.4,-3381.114158,580.916927,97677.685
328,-2756.65,1.81057,-2975.64,-3379.114198,580.5865987,97679.841
329,-2755.14,1.67357,-2973.94,-3377.096623,581.07766,97681.9235
330,-2753.75,1.50199,-2972.42,-3375.183688,582.3332448,97683.7855
331,-2752.52,1.28945,-2971.1,-3373.416576,584.3774054,97685.4025
332,-2751.39,1.03295,-2969.91,-3371.718114,587.3414745,97686.86025
333,-2750.26,0.732392,-2968.71,-3369.96568,591.3802402,97688.33025
334,-2748.96,0.390421,-2967.33,-3367.954266,596.7525917,97690.02075
335,-2747.3,0.0104987,-2965.61,-3365.455361,603.7080694,97692.12775
336,-2745.07,-0.41134,-2963.3,-3362.206859,612.518854,97694.9575
337,-2742.41,-0.867497,-2960.6,-3358.389566,623.0033158,97698.265
338,-2739.42,-1.36077,-2957.56,-3354.122557,635.0415937,97701.989
339,-2736.06,-1.89468,-2954.14,-3349.352517,648.6753637,97706.1785
340,-2732.51,-2.45911,-2950.53,-3344.31234,663.649256,97710.60075
341,-2728.85,-3.042,-2946.82,-3339.1148,679.817173,97715.1455
342,-2725.12,-3.62636,-2943.05,-3333.829709,697.0650703,97719.76375
343,-2721.3,-4.18701,-2939.22,-3328.463413,715.3314141,97724.4555
344,-2717.41,-4.69225,-2935.34,-3323.079244,734.4758275,97729.2085
345,-2713.56,-5.12975,-2931.53,-3317.827056,754.2927239,97733.87575
346,-2709.76,-5.49573,-2927.78,-3312.723731,774.6765571,97738.4695
347,-2705.99,-5.79176,-2924.04,-3307.742844,795.6075532,97743.051
348,-2702.25,-5.9973,-2920.35,-3302.909558,816.9382425,97747.57125
349,-2698.57,-6.08383,-2916.74,-3298.295558,838.4849146,97751.9935
350,-2694.99,-6.02859,-2913.25,-3293.977727,860.0262472,97756.26875
351,-2691.58,-5.81705,-2909.94,-3290.059614,881.3036412,97760.3235
352,-2688.41,-5.44307,-2906.87,-3286.634489,902.0373053,97764.08425
353,-2685.56,-4.90851,-2904.1,-3283.798075,921.9461525,97767.4775
354,-2683.09,-4.22322,-2901.7,-3281.611806,940.7531252,97770.4175
355,-2681.07,-3.40539,-2899.72,-3280.139147,958.1495688,97772.843
356,-2679.57,-2.48241,-2898.25,-3279.432298,973.8408142,97774.64375
357,-2678.66,-1.48741,-2897.37,-3279.536423,987.5419886,97775.72175
358,-2678.75,-0.522521,-2897.42,-3280.828662,998.6598732,97775.6605
359,-2679.25,0.520285,-2897.89,-3282.718599,1007.465411,97775.08475
