time,field,initial_residual,final_residual,linear_iterations
122,Ux,0.00215807,0.000133112,2
122,Uy,0.00804114,0.000561815,2
122,p,0.0497923,0.000418847,4
122,omega,0.00134621,6.23694e-05,2
122,k,0.00598579,0.00037303,2
123,Ux,0.00214274,0.000131952,2
123,Uy,0.00797484,0.000556771,2
123,p,0.0496311,0.000424128,4
123,omega,0.00132789,6.12116e-05,2
123,k,0.00582466,0.000361822,2
124,Ux,0.00212746,0.000130788,2
124,Uy,0.0079126,0.000552081,2
124,p,0.0491377,0.000427929,4
124,omega,0.00131263,6.01048e-05,2
124,k,0.00566802,0.000350693,2
125,Ux,0.00211139,0.000129595,2
125,Uy,0.00785881,0.000547654,2
125,p,0.0486743,0.000426496,4
125,omega,0.00129898,5.91529e-05,2
125,k,0.00552061,0.000339999,2
126,Ux,0.00209534,0.00012842,2
126,Uy,0.00780755,0.000543689,2
126,p,0.0485333,0.000419966,4
126,omega,0.00128873,5.82735e-05,2
126,k,0.00538484,0.000330233,2
127,Ux,0.00207929,0.000127262,2
127,Uy,0.00775852,0.000540166,2
127,p,0.0483294,0.000408954,4
127,omega,0.00127849,5.7474e-05,2
127,k,0.00525842,0.000321329,2
128,Ux,0.00206359,0.000126115,2
128,Uy,0.00771668,0.000536877,2
128,p,0.0481091,0.000397914,4
128,omega,0.00126858,5.675e-05,2
128,k,0.0051455,0.00031298,2
129,Ux,0.00204859,0.000125004,2
129,Uy,0.00767869,0.000533643,2
129,p,0.0480717,0.000391135,4
129,omega,0.00125762,5.60592e-05,2
129,k,0.00503856,0.000305193,2
130,Ux,0.00203445,0.000123938,2
130,Uy,0.00764031,0.000530684,2
130,p,0.0478351,0.000388797,4
130,omega,0.00124543,5.54318e-05,2
130,k,0.00493894,0.000298207,2
131,Ux,0.00202088,0.00012296,2
131,Uy,0.0076017,0.000528018,2
131,p,0.0476072,0.000388664,4
131,omega,0.00123694,5.48409e-05,2
131,k,0.00484639,0.000291518,2
132,Ux,0.00200863,0.000122112,2
132,Uy,0.00756894,0.000525457,2
132,p,0.0476873,0.000389985,4
132,omega,0.0012326,5.43679e-05,2
132,k,0.0047555,0.000285144,2
133,Ux,0.00199803,0.00012135,2
133,Uy,0.00753696,0.000522927,2
133,p,0.0479235,0.000390102,4
133,omega,0.00122695,5.3909e-05,2
133,k,0.0046713,0.000279337,2
134,Ux,0.00198851,0.000120667,2
134,Uy,0.00750511,0.000520689,2
134,p,0.0480593,0.000386911,4
134,omega,0.00122175,5.34606e-05,2
134,k,0.00459202,0.0002738,2
135,Ux,0.00197958,0.000120029,2
135,Uy,0.00747826,0.000518547,2
135,p,0.0481503,0.000381026,4
135,omega,0.00121411,5.30266e-05,2
135,k,0.00451458,0.000268437,2
136,Ux,0.00197147,0.000119439,2
136,Uy,0.00745109,0.000516452,2
136,p,0.0478985,0.000374192,4
136,omega,0.00120677,5.2626e-05,2
136,k,0.00443944,0.000263387,2
137,Ux,0.00196376,0.000118884,2
137,Uy,0.00742577,0.000514628,2
137,p,0.0477823,0.000364777,4
137,omega,0.00119998,5.22776e-05,2
137,k,0.00436469,0.000258628,2
138,Ux,0.00195671,0.000118398,2
138,Uy,0.00740755,0.000512975,2
138,p,0.0482044,0.000354374,4
138,omega,0.00120016,5.19797e-05,2
138,k,0.00429708,0.000254065,2
139,Ux,0.00195067,0.000117939,2
139,Uy,0.00739307,0.000511346,2
139,p,0.0483673,0.00034422,4
139,omega,0.00119753,5.17353e-05,2
139,k,0.00423047,0.000249677,2
140,Ux,0.00194514,0.000117525,2
140,Uy,0.00737786,0.000509981,2
140,p,0.0485677,0.000334683,4
140,omega,0.00119269,5.14322e-05,2
140,k,0.00416716,0.000245414,2
141,Ux,0.00194033,0.00011714,2
141,Uy,0.00736479,0.000508825,2
141,p,0.0485849,0.000326335,4
141,omega,0.00118809,5.11856e-05,2
141,k,0.0041077,0.000241404,2
142,Ux,0.00193608,0.000116814,2
142,Uy,0.00735574,0.000507773,2
142,p,0.0482396,0.000318292,4
142,omega,0.00118429,5.09842e-05,2
142,k,0.0040482,0.00023767,2
143,Ux,0.00193221,0.000116519,2
143,Uy,0.00734815,0.000506887,2
143,p,0.0479818,0.000313914,4
143,omega,0.00118394,5.07974e-05,2
143,k,0.00398922,0.000234036,2
144,Ux,0.00192884,0.000116272,2
144,Uy,0.00734491,0.000506405,2
144,p,0.0483847,0.000313979,4
144,omega,0.00118669,5.0646e-05,2
144,k,0.00393761,0.000230664,2
145,Ux,0.00192619,0.00011605,2
145,Uy,0.00734584,0.000505959,2
145,p,0.0486548,0.000316004,4
145,omega,0.00118627,5.05184e-05,2
145,k,0.00388775,0.000227397,2
146,Ux,0.00192418,0.000115863,2
146,Uy,0.00734946,0.00050562,2
146,p,0.049148,0.000318049,4
146,omega,0.00118318,5.03141e-05,2
146,k,0.0038404,0.000224312,2
147,Ux,0.00192272,0.000115723,2
147,Uy,0.00735739,0.000505549,2
147,p,0.0492575,0.000319984,4
