iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
278,-2921.27,4.49799,-3067.77,-3584.065788,977.6854062,97566.98175
279,-2926.07,4.49273,-3076.81,-3589.939344,971.0038394,97555.90775
280,-2930.43,4.48687,-3084.76,-3595.273166,964.8721362,97546.169
281,-2934.35,4.48033,-3091.66,-3600.067154,959.2903952,97537.7165
282,-2937.82,4.47306,-3097.59,-3604.308999,954.2504707,97530.45225
283,-2940.85,4.46508,-3102.58,-3608.010973,949.7707722,97524.3395
284,-2943.47,4.45648,-3106.69,-3611.209938,945.7837503,97519.30475
285,-2945.67,4.44735,-3109.94,-3613.893754,942.3322342,97515.3235
286,-2947.45,4.43782,-3112.34,-3616.06258,939.3956021,97512.3835
287,-2948.81,4.42804,-3113.91,-3617.716599,936.9839006,97510.46025
288,-2949.78,4.41815,-3114.7,-3618.892734,935.0499734,97509.4925
289,-2950.39,4.40825,-3114.76,-3619.627856,933.5774151,97509.419
290,-2950.66,4.3983,-3114.15,-3619.946417,932.5213042,97510.16625
291,-2950.61,4.38885,-3112.92,-3619.873591,931.8667004,97511.673
292,-2950.26,4.38005,-3111.14,-3619.434061,931.5889186,97513.8535
293,-2949.67,4.3689,-3108.88,-3618.697653,931.6181326,97516.622
294,-2948.82,4.3573,-3106.15,-3617.642193,931.9765134,97519.96625
295,-2947.76,4.34415,-3103.03,-3616.327584,932.6143972,97523.78825
296,-2946.42,4.33381,-3099.5,-3614.673417,933.5917115,97528.1125
297,-2944.88,4.32271,-3095.65,-3612.77332,934.8353093,97532.82875
298,-2943.16,4.31052,-3091.55,-3610.651387,936.3108526,97537.85125
299,-2941.35,4.29717,-3087.3,-3608.417783,937.9184187,97543.0575
300,-2939.44,4.28272,-3082.91,-3606.060332,939.6599405,97548.43525
301,-2937.38,4.26736,-3078.38,-3603.518016,941.5964331,97553.9845
302,-2935.13,4.25131,-3073.67,-3600.742105,943.7868711,97559.75425
303,-2932.68,4.23486,-3068.76,-3597.720704,946.2329031,97565.769
304,-2930.03,4.21823,-3063.68,-3594.454082,948.9445048,97571.992
305,-2927.19,4.20158,-3058.44,-3590.954686,951.8989832,97578.411
